1000
4994
954 595
174 427
777 843
716 243
497 370
906 925
493 999
66 909
614 756
50 829
674 3
450 137
147 778
787 770
214 486
225 80
53 44
861 601
77 524
928 832
905 713
233 828
560 613
802 376
269 490
802 17
731 683
711 352
337 694
865 838
727 744
920 885
108 543
170 573
821 330
652 179
26 55
339 762
881 851
891 959
603 795
554 97
218 977
28 775
350 46
373 514
996 661
37 797
982 655
454 44
265 324
131 557
341 627
687 690
704 990
54 97
967 870
408 243
828 492
896 679
305 352
668 388
133 281
819 574
556 8
624 95
790 847
789 977
841 819
614 778
507 441
902 37
753 391
845 452
509 465
516 640
341 672
426 840
948 857
758 205
811 761
78 182
715 799
546 402
457 852
233 932
126 558
737 15
395 753
536 991
807 621
858 842
247 40
38 342
450 438
404 366
460 358
629 534
30 426
521 905
993 508
819 355
690 926
278 861
779 687
666 685
39 175
684 967
424 268
599 173
644 5
442 145
131 908
237 743
329 529
603 53
843 947
58 307
362 748
963 530
907 577
143 359
804 663
821 286
221 965
951 948
956 20
402 854
403 566
143 597
735 399
735 313
960 612
512 578
775 524
800 375
346 48
688 805
380 954
362 976
429 973
584 976
906 910
127 182
889 895
584 959
325 66
300 216
812 13
812 455
729 757
988 779
913 293
415 198
552 736
609 969
113 535
630 877
379 445
379 263
569 999
155 392
648 309
137 67
436 629
891 205
651 260
468 90
836 922
748 814
244 674
571 766
953 588
419 683
770 96
448 432
406 419
65 911
696 64
680 557
825 570
560 915
849 859
381 924
84 787
335 746
777 55
584 138
530 718
654 31
459 4
266 67
549 557
774 690
801 969
975 110
817 551
875 648
359 921
508 425
967 373
518 983
975 743
117 483
449 842
937 264
29 337
393 641
252 440
970 980
902 871
623 254
276 997
141 587
72 624
948 426
422 494
621 136
631 198
678 838
450 93
990 528
953 969
42 740
460 85
349 615
582 181
630 596
547 277
434 19
984 138
267 111
269 658
899 68
918 310
368 226
419 1000
457 15
11 755
503 292
14 610
265 895
980 591
60 808
365 792
927 180
458 728
475 251
83 586
204 871
50 418
404 942
314 716
98 950
576 956
397 8
273 460
979 807
630 591
495 361
320 480
679 702
966 250
371 511
983 625
367 512
985 528
360 434
455 714
766 95
500 971
374 310
578 675
803 842
914 681
667 35
122 155
620 359
21 704
381 928
77 498
123 929
385 532
684 388
272 483
285 66
912 627
207 217
389 908
11 819
977 965
739 424
735 484
365 22
868 138
300 839
828 848
241 874
200 965
914 991
294 671
845 451
968 453
764 753
381 163
554 274
580 67
7 953
209 255
60 487
403 78
878 261
279 403
60 291
350 705
60 288
184 270
468 401
219 612
849 704
633 48
663 276
143 361
39 428
247 926
285 139
339 796
117 63
655 185
130 746
366 883
546 915
512 942
845 8
605 798
334 125
645 962
884 853
724 832
464 507
248 676
505 240
509 140
377 814
384 649
710 141
1000 883
702 597
820 336
265 355
699 769
688 135
287 226
337 605
465 80
282 649
673 464
71 546
341 266
735 615
414 900
224 566
448 108
131 961
140 472
451 769
967 974
219 663
436 235
610 524
101 317
888 948
395 177
367 537
361 590
782 498
305 802
804 914
212 883
900 598
463 524
936 770
257 913
124 36
409 90
306 8
518 374
220 216
734 121
290 997
818 921
898 653
302 565
54 783
293 587
982 203
657 974
374 154
609 806
273 453
712 17
328 906
119 854
58 744
60 595
326 679
109 34
155 685
785 357
998 364
989 313
808 199
400 881
256 894
312 625
658 893
117 377
474 999
47 471
406 235
970 310
287 35
547 508
586 99
188 647
835 172
259 745
835 297
881 120
717 409
117 723
289 53
870 372
749 997
914 719
137 441
105 695
624 320
707 192
665 823
150 477
68 622
68 139
513 146
127 847
128 573
673 158
923 683
788 806
517 157
680 649
508 615
102 391
916 103
583 831
151 85
423 944
601 872
359 10
477 561
521 948
454 99
133 973
455 12
178 909
130 31
789 390
366 721
145 182
45 81
919 361
115 969
729 994
506 562
282 862
437 697
369 558
221 355
65 107
605 706
592 858
645 73
556 299
204 290
151 95
49 426
491 146
458 39
218 855
583 413
527 275
669 637
611 784
516 969
530 694
627 278
176 10
430 391
567 467
296 173
504 157
868 281
291 974
236 44
462 237
572 887
49 374
676 298
816 924
147 769
60 884
917 752
981 659
860 97
458 241
826 136
178 945
495 32
973 120
326 590
235 411
786 367
401 281
963 873
536 719
248 578
346 276
308 958
375 839
911 893
987 647
327 59
101 741
429 196
168 893
929 202
475 613
568 428
445 795
189 141
679 814
174 594
739 999
91 206
400 510
690 999
397 756
285 218
929 434
266 853
84 302
533 787
282 369
71 30
673 586
815 126
394 604
583 617
833 480
273 306
563 70
717 125
166 7
257 41
352 54
475 401
776 680
207 332
674 913
979 268
262 612
820 158
794 778
454 442
21 581
544 721
864 918
674 229
802 778
122 943
413 147
398 249
310 120
855 521
618 783
416 316
184 62
505 253
54 994
364 329
541 873
825 669
693 64
444 662
259 202
711 64
225 163
84 870
156 740
651 385
986 606
386 260
533 566
101 933
51 418
242 418
833 319
57 559
610 393
720 460
715 464
871 713
136 274
897 493
160 336
956 383
231 238
602 683
791 763
259 431
282 165
372 18
383 1000
917 627
768 152
51 240
735 658
438 815
403 580
825 224
667 287
267 437
525 4
986 658
760 683
849 223
919 731
833 502
197 294
875 145
776 433
772 22
628 517
236 83
377 258
335 292
12 792
786 813
726 762
730 949
563 507
455 286
767 618
661 301
212 590
92 175
891 749
715 648
271 976
495 238
640 683
213 16
331 908
407 952
751 531
375 731
517 861
74 877
777 903
486 9
801 895
244 922
330 238
430 890
414 314
193 972
642 503
850 46
711 214
600 866
917 380
655 878
967 729
687 321
661 419
950 20
627 847
979 757
980 840
579 540
973 803
933 865
108 209
7 134
349 157
196 411
710 674
352 230
280 445
506 95
964 589
303 461
122 215
986 523
422 184
902 134
465 746
378 909
305 18
416 74
353 443
904 249
387 769
63 950
916 827
715 41
302 672
214 52
527 129
190 351
151 987
652 205
293 716
585 903
229 161
507 559
907 323
505 803
