Number of Cartesian coordinate pairs:
41
Cartesian coordinate pairs:
-20,-18.00046674
-19,-22.99971622
-18,-29.79105189
-17,-36.82867153
-16,-41.44713514
-15,-41.45499235
-14,-36.69850620
-13,-29.19147325
-12,-21.62750097
-11,-15.63816525
-10,-11.26274364
-9,-7.759031231
-8,-4.712418780
-7,-2.417931564
-6,-1.376420029
-5,-1.556131154
-4,-2.191268138
-3,-2.316220971
-2,-1.519844894
-1,-0.1909755438
0,1
1,1.907771593
2,3.208032776
3,5.796168540
4,9.752017729
5,13.87214490
6,16.36723577
7,16.20237869
8,13.86832495
9,10.91731183
10,8.754476595
11,7.739717144
12,7.252012276
13,6.522266176
14,5.457728251
15,4.769205483
16,5.364971174
17,7.631054542
18,11.30023258
19,16.03763188
20,22.13711700
